date,variable,value
1998-09-26 00:00:00,type3,10
2007-05-05 00:00:00,type2,10
1987-08-08 00:00:00,type2,11
1983-08-13 00:00:00,type2,7
2015-10-03 00:00:00,type3,7
2009-06-27 00:00:00,type3,10
1988-12-03 00:00:00,type1,7
1995-06-03 00:00:00,type1,10
1979-01-06 00:00:00,type3,10
2006-01-21 00:00:00,type3,6
2010-10-09 00:00:00,type1,9
1980-01-05 00:00:00,type3,9
1990-12-08 00:00:00,type3,9
1988-01-02 00:00:00,type2,11
1983-01-15 00:00:00,type1,12
2006-09-02 00:00:00,type2,12
2006-05-13 00:00:00,type1,13
1982-05-01 00:00:00,type2,11
2011-05-28 00:00:00,type1,12
2002-10-12 00:00:00,type3,9
2014-09-06 00:00:00,type1,9
2003-05-24 00:00:00,type3,9
1998-10-24 00:00:00,type1,12
2005-11-12 00:00:00,type1,9
2017-07-01 00:00:00,type2,13
2012-09-29 00:00:00,type1,11
2009-07-04 00:00:00,type3,11
1987-01-10 00:00:00,type3,9
1994-04-02 00:00:00,type3,10
1982-12-04 00:00:00,type1,11
2009-03-21 00:00:00,type3,10
2016-10-15 00:00:00,type1,13
1996-05-11 00:00:00,type3,9
1980-06-07 00:00:00,type3,9
2002-06-22 00:00:00,type2,9
1982-05-15 00:00:00,type2,11
1990-06-16 00:00:00,type3,13
2012-06-23 00:00:00,type3,10
2012-12-29 00:00:00,type3,11
1979-11-24 00:00:00,type2,7
1985-06-01 00:00:00,type3,11
1994-09-17 00:00:00,type3,7
2005-05-07 00:00:00,type1,11
2008-02-02 00:00:00,type1,11
2014-05-17 00:00:00,type3,11
1996-06-29 00:00:00,type1,7
1989-03-18 00:00:00,type3,12
1995-06-24 00:00:00,type1,9
2011-03-19 00:00:00,type3,10
2014-04-19 00:00:00,type1,15
2016-05-14 00:00:00,type2,9
2015-10-17 00:00:00,type1,12
2006-01-28 00:00:00,type2,7
1980-06-28 00:00:00,type2,11
2010-02-27 00:00:00,type3,NA
2000-03-18 00:00:00,type3,10
2016-12-31 00:00:00,type2,10
1978-07-22 00:00:00,type1,12
1997-09-20 00:00:00,type2,10
1990-05-05 00:00:00,type2,13
2015-09-19 00:00:00,type1,9
2014-12-13 00:00:00,type3,9
1992-02-15 00:00:00,type1,7
2018-06-23 00:00:00,type1,8
1997-03-15 00:00:00,type1,6
2000-07-22 00:00:00,type2,10
2015-01-03 00:00:00,type1,9
1986-12-06 00:00:00,type1,11
1981-10-24 00:00:00,type1,4
2014-08-30 00:00:00,type1,9
2007-06-09 00:00:00,type1,7
1991-02-09 00:00:00,type2,11
2018-11-10 00:00:00,type1,10
2005-07-16 00:00:00,type3,10
2010-12-25 00:00:00,type1,12
2010-07-10 00:00:00,type3,NA
1986-01-25 00:00:00,type1,10
2003-07-12 00:00:00,type3,9
1987-08-01 00:00:00,type1,9
1997-03-22 00:00:00,type3,10
1988-11-26 00:00:00,type2,10
2003-03-15 00:00:00,type1,12
2009-02-21 00:00:00,type1,8
1998-08-01 00:00:00,type2,10
1987-03-07 00:00:00,type2,11
1978-12-02 00:00:00,type2,7
2016-04-02 00:00:00,type1,7
2000-01-08 00:00:00,type1,10
1982-01-23 00:00:00,type2,11
2016-02-27 00:00:00,type2,9
2001-10-06 00:00:00,type2,9
1997-10-04 00:00:00,type2,11
1982-06-12 00:00:00,type3,11
2012-08-18 00:00:00,type2,10
1989-03-11 00:00:00,type2,8
1991-07-06 00:00:00,type1,8
1978-04-15 00:00:00,type3,9
1998-09-12 00:00:00,type2,10
2004-09-11 00:00:00,type2,10
1990-12-15 00:00:00,type1,14
2002-10-05 00:00:00,type2,12
1993-07-17 00:00:00,type3,10
2012-12-22 00:00:00,type1,10
2013-04-27 00:00:00,type1,8
1990-06-02 00:00:00,type1,10
2002-08-17 00:00:00,type1,8
1999-04-10 00:00:00,type1,10
2019-05-25 00:00:00,type1,10
1979-07-14 00:00:00,type1,12
2018-09-08 00:00:00,type2,9
1997-10-18 00:00:00,type2,14
1992-01-04 00:00:00,type3,8
1997-09-06 00:00:00,type3,7
2010-03-20 00:00:00,type3,NA
1999-01-30 00:00:00,type3,11
1985-12-07 00:00:00,type1,10
2018-03-17 00:00:00,type1,5
2018-09-29 00:00:00,type1,7
2010-10-23 00:00:00,type3,12
2010-11-06 00:00:00,type2,9
2001-10-27 00:00:00,type1,10
2001-08-18 00:00:00,type2,12
 ,type2,10
1997-01-11 00:00:00,type1,7
2017-05-20 00:00:00,type1,7
1984-12-01 00:00:00,type3,9
2004-06-19 00:00:00,type2,7
2015-04-11 00:00:00,type2,7
1981-10-31 00:00:00,type1,12
1997-08-23 00:00:00,type2,12
1986-12-27 00:00:00,type3,12
2017-11-25 00:00:00,type3,10
2017-10-07 00:00:00,type2,7
1993-09-25 00:00:00,type3,10
1986-12-20 00:00:00,type3,9
2007-01-27 00:00:00,type1,9
1986-08-09 00:00:00,type3,11
2014-02-15 00:00:00,type1,8
1996-05-11 00:00:00,type2,6
2000-06-17 00:00:00,type2,10
1981-01-24 00:00:00,type3,9
1998-01-17 00:00:00,type1,8
1991-04-20 00:00:00,type3,11
1983-05-14 00:00:00,type3,7
2017-04-08 00:00:00,type2,8
2004-02-21 00:00:00,type1,6
2007-10-06 00:00:00,type2,14
2001-04-28 00:00:00,type1,10
1996-02-03 00:00:00,type1,11
2000-10-21 00:00:00,type3,12
2007-06-02 00:00:00,type1,6
1984-09-08 00:00:00,type1,8
2002-11-23 00:00:00,type3,9
2017-12-09 00:00:00,type3,12
1984-09-01 00:00:00,type2,9
2003-02-08 00:00:00,type3,12
1992-12-19 00:00:00,type3,8
1978-09-02 00:00:00,type2,10
2018-02-10 00:00:00,type3,11
1993-08-21 00:00:00,type3,9
2004-05-01 00:00:00,type2,10
1987-12-12 00:00:00,type2,8
2010-03-27 00:00:00,type3,NA
2000-04-29 00:00:00,type1,12
1992-06-13 00:00:00,type1,12
1990-07-07 00:00:00,type1,10
2018-04-28 00:00:00,type2,10
2004-03-27 00:00:00,type3,10
1979-11-17 00:00:00,type3,9
2004-10-02 00:00:00,type2,10
2004-05-08 00:00:00,type2,10
2016-07-16 00:00:00,type2,10
1983-12-10 00:00:00,type3,9
1979-10-06 00:00:00,type2,12
1991-12-28 00:00:00,type3,11
1987-06-20 00:00:00,type1,10
1980-09-20 00:00:00,type1,13
1999-09-25 00:00:00,type2,9
1987-07-18 00:00:00,type2,11
2001-03-03 00:00:00,type1,8
2004-10-23 00:00:00,type1,5
1988-04-02 00:00:00,type1,9
2009-07-04 00:00:00,type1,10
1990-04-28 00:00:00,type2,9
1996-02-17 00:00:00,type2,10
1991-12-07 00:00:00,type2,6
1999-05-22 00:00:00,type1,11
2012-07-21 00:00:00,type3,12
1986-02-22 00:00:00,type2,10
1987-08-08 00:00:00,type3,10
1998-01-24 00:00:00,type2,10
1981-09-12 00:00:00,type3,9
2006-04-22 00:00:00,type1,9
2017-12-16 00:00:00,type3,7
2004-12-04 00:00:00,type3,9
1983-05-21 00:00:00,type2,7
2014-01-18 00:00:00,type3,7
1982-01-30 00:00:00,type1,10
2006-05-27 00:00:00,type2,10
2001-03-10 00:00:00,type3,9
1991-01-05 00:00:00,type1,8
1984-08-25 00:00:00,type3,9
1999-10-09 00:00:00,type1,10
1987-09-19 00:00:00,type1,11
1983-04-16 00:00:00,type3,8
2018-12-29 00:00:00,type1,7
1995-09-09 00:00:00,type2,11
2003-08-09 00:00:00,type3,12
1988-04-16 00:00:00,type1,9
1980-11-08 00:00:00,type1,8
2005-09-17 00:00:00,type1,6
1980-12-20 00:00:00,type2,11
1992-02-08 00:00:00,type3,4
2006-07-01 00:00:00,type1,7
2000-10-28 00:00:00,type3,10
2016-12-17 00:00:00,type2,10
1994-09-03 00:00:00,type2,11
2018-02-17 00:00:00,type1,9
1981-02-21 00:00:00,type1,9
2017-11-04 00:00:00,type3,10
1987-11-28 00:00:00,type1,9
2016-04-30 00:00:00,type2,7
2007-10-13 00:00:00,type3,12
2001-07-14 00:00:00,type3,9
1995-05-06 00:00:00,type3,8
2005-08-06 00:00:00,type3,8
2005-04-23 00:00:00,type3,9
1978-07-08 00:00:00,type3,6
1990-01-06 00:00:00,type1,10
1990-06-16 00:00:00,type1,9
2005-07-09 00:00:00,type3,7
1989-12-23 00:00:00,type2,9
2005-07-30 00:00:00,type1,7
2014-06-14 00:00:00,type1,11
2019-09-21 00:00:00,type1,11
2003-01-18 00:00:00,type3,11
1981-11-21 00:00:00,type1,9
1992-11-14 00:00:00,type1,11
2009-08-22 00:00:00,type3,7
2009-02-14 00:00:00,type3,10
1992-02-22 00:00:00,type2,8
2002-01-12 00:00:00,type1,7
1989-08-05 00:00:00,type1,6
1987-06-13 00:00:00,type2,7
2001-12-08 00:00:00,type2,13
2007-07-21 00:00:00,type2,11
1995-01-28 00:00:00,type3,10
2016-09-03 00:00:00,type3,8
1996-08-24 00:00:00,type3,10
1991-09-21 00:00:00,type3,14
